,CID,MolMR,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP,qvina,rfscore_qvina,plants,rfscore_plants,r_inhibition_at_50_uM,f_inhibition_at_50_uM,r_active,f_active
61,LON-WEI-1908424e-10,125.65290000000006,5,8,2,91.21,187.39679458111283,2.7964,-7.4,7.439085113664116,-85.571,7.401952660783661,,-4.0623309999999995,0,0
62,LON-WEI-1908424e-11,109.46120000000002,4,5,1,79.6,168.28490614187768,3.2268000000000017,-8.7,6.997878158896662,-80.4081,7.138113851703857,,0.8376869,0,0
63,LON-WEI-1908424e-12,61.01550000000001,3,4,2,73.12,106.32625669978759,2.99948,-6.7,6.059100971694972,-64.2493,5.952592050505046,22.2211172153464,-3.0009605,0,0
64,LON-WEI-1908424e-13,76.31680000000003,4,4,3,99.52,124.56761176466664,1.9219999999999997,-7.0,6.400404528860028,-78.1492,6.118187557498053,,-1.7534375,0,0
65,LON-WEI-1908424e-14,89.9258,3,8,2,121.67,136.66588191846085,2.00242,-7.2,7.037256885891894,-76.7615,7.310707407148416,,-1.3315919,0,0
66,LON-WEI-1908424e-15,76.2031,2,6,2,102.48,114.03257839734287,1.0921199999999998,-6.6,6.845238041181048,-68.7259,6.866521728771236,,4.3760885,0,0
67,LON-WEI-1908424e-16,76.93080000000003,5,2,1,66.15,115.17912748139014,2.01,-6.2,6.0113906107781085,-75.2828,6.009935185758687,,-1.9215755,0,0
68,LON-WEI-1908424e-17,99.85280000000002,6,6,3,91.68,154.5662415402615,3.1418000000000013,-7.4,6.857384205627708,-97.8877,7.1024008233988285,,-5.0141114,0,0
69,LON-WEI-1908424e-18,143.6685999999999,2,7,2,73.22000000000001,224.30797147295792,5.942500000000009,-7.4,6.719464252691755,-80.3931,7.620358161560662,,-23.4267099,0,0
70,NAU-LAT-8502cac5-1,98.04270000000004,3,4,1,56.15000000000001,146.18263490625802,4.1220000000000026,-7.0,6.566028043900541,-80.6445,6.966218116383616,8.848135562445481,-2.1181502,0,0
71,NAU-LAT-8502cac5-2,76.61070000000005,3,5,1,69.04,125.62156488282992,2.3811,-6.8,6.780413418858919,-71.7417,7.038502249028746,0.0,25.475325,0,0
72,NAU-LAT-8502cac5-5,85.42970000000005,3,5,1,69.04,134.4131249991381,2.8964000000000008,-6.8,7.250504476190477,-82.1382,7.186585056277052,0.0,-5.0222125,0,0
73,NAU-LAT-8502cac5-6,89.67670000000004,3,5,1,69.04,142.5896638992334,3.035400000000002,-6.7,6.724825119269626,-74.3985,6.981602518537022,0.0,19.9646,0,0
74,NAU-LAT-8502cac5-7,85.64870000000003,2,5,1,68.52,132.65821618268365,2.542520000000001,-7.1,6.955668296481296,-64.7922,7.158629981018976,,-4.737055000000001,0,0
75,NAU-LAT-8502cac5-8,82.77550000000005,3,6,1,93.95,133.19509392262458,1.5127,-6.5,6.38908646181596,-66.4951,6.902798152958153,,74.639425,0,1
76,NAU-LAT-8502cac5-9,81.54870000000005,4,5,1,69.04,129.05401403827074,2.0415,-6.6,6.761720954489957,-73.9436,7.415738217171718,0.0,-1.11070135,0,0
77,ADA-UCB-6c2cb422-1,85.52870000000003,3,2,1,41.99,127.13434457756941,4.069400000000002,-7.2,6.006206573426577,-79.935,6.30770757792208,84.9102154859423,84.803335,1,1
78,ADA-UCB-6c2cb422-3,83.16040000000005,3,3,2,54.02,124.1532133066178,2.21692,-6.8,6.7438358583083575,-78.0275,5.877720999278499,,2.763474,0,0
79,IAN-BAS-5394d4c4-1,124.9486,6,4,3,91.81,183.63939792955588,4.265400000000001,-8.2,7.434489910117666,-94.2162,7.094034530969036,43.915,8.0781235,0,0
80,IAN-BAS-36ca50f1-1,110.9691,7,6,3,136.18,173.5325171488956,1.178699999999999,-8.1,7.229296684704192,-83.1789,7.335999279165272,0.0,-0.595988693,0,0
81,JAG-UCB-c37fbdcd-1,105.7247,4,3,1,65.64,160.46821225357934,3.6323000000000025,-7.8,7.0218534309024285,-80.7597,7.060123161505161,0.0,4.68913625,0,0
82,JAG-UCB-c37fbdcd-2,105.8647,4,4,1,82.71000000000002,164.6297343536231,3.1589000000000014,-7.9,6.8898628939393936,-82.6563,7.087856542695872,,,0,0
83,JAN-GHE-c863d918-1,80.41840000000003,4,3,2,71.92,122.41012843702974,1.5259799999999992,-7.3,7.0545418126873125,-79.8801,6.765559736874237,0.0,15.3691825,0,0
84,VLA-UCB-00f2c2b3-1,79.60640000000002,3,2,2,57.78,116.40518088609863,3.052520000000001,-6.5,6.784382282384282,-78.3328,7.024025028915534,0.0,-2.3296125,0,0
