CID,qvina,rfscore_qvina,plants,rfscore_plants
STU-CHA-83dacf15-1,-7.0,6.959397344155843,-71.8617,5.910121633477624
JOO-IND-6372a4f3-6,-6.9,6.543782477633478,-77.84899999999998,6.151710249639241
CAS-DEP-751a2458-2,-6.7,5.923430235764236,-72.615,6.558119958874457
BAR-COM-4e090d3a-35,-6.6,7.285351760461759,-80.5288,7.456116573648579
RAL-MED-2de63afb-10,-6.4,6.135514019480518,-72.4627,6.361347918470418
DAV-CRI-14a23e73-1,-7.0,6.716297257076263,-75.3926,7.001267444444442
JOH-UNI-c7afdb96-9,-6.1,6.8001935732045675,-76.9597,5.736859597539722
RAL-MED-2de63afb-14,-7.6,7.3095248504273425,-84.2608,6.5034818099678064
LON-WEI-adc59df6-101,-6.3,7.1225350259462745,-76.0458,7.327200760822516
MAT-POS-590ac91e-60,-8.9,6.984410013212278,-71.4891,7.148206339493843
DAR-DIA-fb20be43-7,-6.8,6.480789980519482,-84.6805,6.743171881007878
BAR-COM-0f94fc3d-23,-6.0,5.804002925685428,-72.3081,6.638968286269287
MAT-POS-590ac91e-48,-7.6,6.911584974220222,-75.2387,6.756020261460764
EDJ-MED-49816e9b-3,-6.0,6.407802214618719,-63.3382,5.837799523088025
MAR-UNI-c84db004-3,-7.4,6.5142416255966245,-81.7509,7.196439195693194
BAR-COM-0f94fc3d-48,-6.9,6.871643996947499,-77.0142,7.114649565934063
NAU-LAT-f723e322-4,-6.4,6.517624024198022,-73.0362,6.581957823953828
JAG-UCB-4709a583-1,-7.4,7.027694558941063,-68.453,5.667233812576315
BAR-COM-4e090d3a-20,-7.0,7.0077967423132455,-82.5907,6.968606751692756
PET-SGC-abcbce68-1,-6.5,7.018477043179043,-71.5961,7.1167304473304505
LON-WEI-1908424e-11,-8.7,6.997878158896662,-80.4081,7.138113851703857
MED-COV-4280ac29-33,-6.1,6.514210438672436,-80.571,6.991584976967479
LON-WEI-b8d98729-38,-7.2,7.147576586080593,-89.287,7.605709297369302
JOO-IND-6372a4f3-4,-6.7,6.275560233877237,-77.1978,6.1331451802641865
ALP-POS-c0c213c9-14,-7.6,7.0369378827561375,-83.2011,7.362310557303809
LON-WEI-d1c9908a-2,-7.3,7.1848584661727175,-93.6177,7.388587116328112
LON-WEI-1908424e-16,-6.2,6.0113906107781085,-75.2828,6.009935185758687
FRA-BIO-8bf1eac9-10,-6.3,6.5029010113220105,-79.0759,6.8965009971139954
MAT-POS-4e253971-3,-6.6,5.3799917826617865,-67.1517,6.357767921800423
GIA-UNK-595fac82-2,-6.1,5.953529236430239,-63.7097,6.149015154734154
LON-WEI-adc59df6-28,-7.0,7.3504435477855505,-84.5574,7.1736845988455995
NAU-LAT-64f4b287-3,-6.5,6.078277903263404,-70.8701,6.535767919580426
LON-WEI-adc59df6-55,-5.9,7.037388515789773,-72.0206,7.277545430902434
STE-KUL-2e0d2e88-1,-6.9,6.869328759795759,-79.8017,6.469595496003993
JAN-GHE-83b26c96-15,-6.0,6.2866473871683874,-68.5706,6.6220340150405175
LON-WEI-adc59df6-78,-6.7,7.210546007908762,-74.6032,7.245279075702076
ALV-UNI-7ff1a6f9-47,-6.9,6.259273323565326,-80.1084,6.524316658785665
CHR-SOS-7098f804-10,-6.0,5.552044152236652,-63.0395,6.028081536796532
ANN-UNI-98d2bf15-5,-6.9,6.807933711066706,-72.5655,6.690752155788653
BEN-DND-61647d40-8,-6.5,5.7117910248640245,-71.4022,6.499436715617717
MAK-UNK-0d6072ac-21,-6.9,6.3222704664224585,-80.1352,6.1524614499389445
SIM-SYN-f15aaa3a-1,-7.0,6.791754433621931,-80.9792,6.808196882395383
NAU-LAT-8502cac5-5,-6.8,7.250504476190477,-82.1382,7.186585056277052
ALE-UNK-fca05062-2,-7.2,8.019650986790994,-118.466,7.77012837445888
NAU-LAT-8502cac5-6,-6.7,6.724825119269626,-74.3985,6.981602518537022
LON-WEI-8f408cad-5,-5.5,6.249853862970357,-69.3531,6.0123737020757
FRA-BIO-8bf1eac9-1,-8.1,7.394760160338031,-72.3216,7.303486458874464
LON-WEI-b8d98729-32,-6.3,7.307091332167829,-78.2027,7.2837324019314025
MAT-POS-c478e61b-1,-8.4,7.539899357975358,-92.2168,7.281809807470304
BAR-COM-0f94fc3d-33,-6.9,7.094461145743143,-72.9883,6.801698947913197
ERI-BAS-37e2bb46-1,-8.6,7.5771914835605525,-92.0678,7.438918750360752
BAR-COM-4e090d3a-26,-6.8,6.7906381078921125,-80.6873,6.9863226587301615
MAT-POS-af71705c-2,-8.3,7.213163920745925,-80.6905,7.446773991647242
GIA-UNK-30c7cb75-2,-6.2,6.475003222943733,-69.9904,6.232284771228776
MAK-UNK-6435e6c2-2,-5.3,6.169333819624821,-67.4999,6.352274500665999
LON-WEI-b8d98729-42,-7.1,7.360859367771122,-75.2083,7.355030860916865
GAB-REV-70cc3ca5-6,-7.0,7.082248563353312,-84.3461,7.103452976800977
MAR-UNI-c84db004-7,-8.1,6.791316292929299,-78.1464,6.79603988161838
LON-WEI-ff7b210a-11,-5.6,5.8081883902486275,-73.1492,5.878262001968612
TRY-UNI-1fd04853-11,-7.3,6.918452946164954,-79.059,7.043233430180941
MAT-POS-ee51dedd-2,-6.1,7.0223371940836845,-66.3923,7.151083320457316
JAN-GHE-5a013bed-11,-6.7,5.314067477799978,-63.3441,5.45391673992675
RUT-UNI-630c5802-20,-6.7,7.325204031135532,-89.0033,7.4435480836940835
MAT-POS-916a2c5a-4,-7.7,6.629375970140969,-71.9004,7.074084786435788
LON-WEI-1908424e-2,-7.2,7.092269880341879,-72.8291,7.549296724691977
BEN-DND-7e92b6ca-13,-7.8,6.826672062937063,-74.1107,6.832130082861588
LON-WEI-adc59df6-2,-6.3,7.2728467067099505,-83.115,7.510120370851366
JOO-IND-b13e14cc-1,-6.8,6.604806006160513,-76.9814,6.17296641053391
TRI-UNI-97428359-1,-7.5,7.031347095238098,-85.6626,6.992446491341988
BAR-COM-4e090d3a-42,-7.0,7.058862641969137,-77.2476,7.361231489898988
RAL-MED-2de63afb-6,-7.3,6.7017632722277725,-83.4669,6.95120534415584
LOR-NEU-c8f11034-3,-5.5,4.908400120768119,-59.8625,5.199243896103897
MAT-POS-590ac91e-11,-5.1,5.387551457431458,-65.1105,6.187854268842269
MAK-UNK-6435e6c2-5,-6.9,6.504725848151847,-74.7213,6.491138937950942
ALP-POS-91609ae9-3,-7.2,6.925882855533353,-83.1104,7.290711098845608
MAR-UNI-c84db004-19,-8.0,5.735581837662343,-77.7668,6.209391489898991
LON-WEI-adc59df6-8,-6.9,7.3468121563714055,-88.0253,7.3129209774669794
GIA-UNK-d2defdc3-2,-7.3,6.790748554057053,-79.7833,6.991851685231439
LON-WEI-adc59df6-45,-6.5,7.665026160367413,-77.8599,7.484135340453659
BAR-COM-4e090d3a-61,-7.3,7.0656766059496094,-83.5801,7.0556538967698925
